fips,stateabb,sedacounty,sedacountyname,subject,grade,year,cs_mn_all,cs_mnse_all,totgyb_all,cs_mn_asn,cs_mnse_asn,totgyb_asn,cs_mn_blk,cs_mnse_blk,totgyb_blk,cs_mn_ecd,cs_mnse_ecd,totgyb_ecd,cs_mn_fem,cs_mnse_fem,totgyb_fem,cs_mn_hsp,cs_mnse_hsp,totgyb_hsp,cs_mn_mal,cs_mnse_mal,totgyb_mal,cs_mn_mfg,cs_mnse_mfg,totgyb_mfg,cs_mn_mtr,cs_mnse_mtr,totgyb_mtr,cs_mn_nam,cs_mnse_nam,totgyb_nam,cs_mn_nec,cs_mnse_nec,totgyb_nec,cs_mn_neg,cs_mnse_neg,totgyb_neg,cs_mn_wag,cs_mnse_wag,totgyb_wag,cs_mn_wbg,cs_mnse_wbg,totgyb_wbg,cs_mn_whg,cs_mnse_whg,totgyb_whg,cs_mn_wht,cs_mnse_wht,totgyb_wht,cs_mn_wmg,cs_mnse_wmg,totgyb_wmg,cs_mn_wng,cs_mnse_wng,totgyb_wng
6,CA,6001,Alameda County,mth,4,2010,-0.115254931,0.033715448,16401,,,,,,,-0.595363662,0.034853154,7251,-0.070364165,0.035601232,7951,,,,-0.159870704,0.035426217,8450,-0.090661655,0.05022261,16401,,,,,,,.2950632451003521,0.037217369,8847,.8899732363722372,0.050987374,16098,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,rla,4,2010,-0.115885061,0.033612769,16401,,,,,,,-0.637881461,0.03467944,7254,-0.003377723,0.035401452,7950,,,,-0.226638337,0.034974724,8451,-0.223345166,0.049762866,16401,,,,,,,0.343606204,0.037326481,8845,.9814984069359559,0.050948677,16099,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,mth,4,2011,-0.08583754,0.048186225,16133,,,,,,,-0.54928364,0.049159448,7054,-0.083652596,0.049331503,7788,,,,-0.091066823,0.049501046,8344,-0.007629991,0.069883098,16132,,,,,,,0.291953478,0.05081447,8771,0.84048722,0.07069965,15825,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,rla,4,2011,-0.032160491,0.051022041,16126,,,,,,,-0.563772069,0.051704272,7053,0.053907115,0.052226287,7783,,,,-0.120566794,0.052031641,8342,-0.176704786,0.073719325,16125,,,,,,,.4301841185649962,0.054553594,8764,.9947312291835313,0.075160262,15817,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,mth,4,2012,-0.084220415,0.033080061,16462,.6050320572913622,0.044914976,4706,-0.754818799,0.040382353,2117,-0.58093866,0.034149662,7222,-0.065027918,0.034764218,8062,-0.567199184,0.034798488,5401,-0.104077305,0.035035863,8389,-0.039539491,0.049354984,16451,0.073598501,0.061335984,759,-0.504766423,.1541747651700464,56,.3338450868915107,0.036873676,8888,.9141021249664011,0.05025644,16110,-0.354122807,0.060926964,8129,1.007180261978459,0.05766521,5540,.8195672699342027,0.053905025,8824,.2529340633713364,0.041172892,3423,.1759311696487444,0.073845561,4182,.7205125922640888,.1582811606326913,3479
6,CA,6001,Alameda County,rla,4,2012,-0.037685101,0.032041592,16462,.5209564232600945,0.04075213,4707,-0.625602876,0.038494269,2116,-0.574690089,0.032880574,7222,0.066115553,0.033977578,8067,-0.569688505,0.033622032,5400,-0.142639076,0.033598381,8384,-0.208747415,0.047782717,16451,.2605986392825557,0.062979082,761,-0.29949572,0.153204041,55,.4314792731854002,0.036205118,8890,1.006463846632231,0.048905971,16112,-0.042368087,0.059166419,8130,1.104228285529392,0.057632973,5539,1.047705012138373,0.054501556,8823,.4782118845917662,0.042899753,3423,.2131254026227378,0.076173458,4184,.7450901090393803,.1577893589931819,3478
6,CA,6001,Alameda County,mth,4,2013,-0.113082718,0.042401266,16968,.6348895229818099,0.055760371,4850,-0.765711343,0.048969246,2001,-0.587665608,0.043439818,7942,-0.115029138,0.043683052,8454,-0.614474573,0.043947538,5693,-0.11051095,0.043926096,8509,0.004293069,0.061947435,16963,.1157294145505154,0.068355513,743,-0.168263185,.1718454885982253,50,0.338010378,0.046526636,8788,.9265033853033223,0.063651425,16730,-0.43252814,0.074188212,8442,.9682595851757178,0.069226489,5593,.8164428083747612,0.065773655,9285,.2026283218409341,0.048942084,3592,0.084747283,0.084038584,4335,.3831401276166364,.1770657075292525,3642
6,CA,6001,Alameda County,rla,4,2013,-0.012663665,0.03570199,16969,.5392956808101584,0.044203536,4851,-0.565427357,0.041533521,2002,-0.543495645,0.036438883,7939,0.070273799,0.037360828,8451,-0.560931238,0.037203308,5694,-0.098761342,0.03710237,8513,-0.170272694,0.052652197,16964,.3804908500716243,0.065705103,743,-0.08167694,.1662022952025416,49,.5067974702842472,0.040546634,8792,1.050674975429616,0.054512798,16731,-0.029216001,0.064205677,8442,1.078283303541584,0.062395504,5593,1.071689602,0.059603327,9285,0.512149951,0.046571824,3591,.1317964252985346,0.080505789,4334,.6097880623042613,.1710097665333715,3640
6,CA,6001,Alameda County,mth,4,2015,-0.021266762,0.047542207,17134,.7260236542765026,0.05681836,5081,-0.873554408,0.057458865,1753,-0.661304805,0.048896394,7980,-0.0491443,0.048421933,8276,-0.622868199,0.049082718,5950,0.006051648,0.048863797,8858,0.055634062,0.068790098,17134,.3386173813646319,0.062542761,861,-0.321832258,.1424601150002471,70,.5551141803058813,0.052776414,9104,1.216606775826236,0.07194376,17084,-0.331820772,0.077580589,8413,1.267074114975427,0.078045999,5085,1.018325498329522,0.072108323,9282,.3944018764703604,0.052831611,3332,0.05995494,0.0818474,4193,.7264910237617502,.1510135030650626,3402
6,CA,6001,Alameda County,rla,4,2015,0.011579332,0.046869943,17065,.6242130056340172,0.054890075,5037,-0.84421409,0.063523115,1757,-0.623037753,0.049469908,7939,.1334437855331904,0.048597818,8256,-0.55358501,0.049526154,5923,-0.107661735,0.047814302,8809,-0.240791716,0.068173912,17065,.4282794744395975,0.06375877,865,-0.320952147,.1452664707826106,70,.6002553851836192,0.052853106,9076,1.222185022425567,0.072390708,17015,-0.106243905,0.077231517,8366,1.364240550450839,0.083581912,5086,1.072095300076711,0.073516543,9252,0.518108255,0.054337453,3329,0.089713066,0.083748608,4194,.8457115259370271,.1541516998804696,3399
